MH,Data
PSO,5.912
PSO,5.895
PSO,6.053
PSO,5.91
PSO,5.903
PSO,5.877
PSO,6.089
PSO,6.226
PSO,9.691
PSO,9.646
PSO,5.94
PSO,5.952
PSO,5.905
PSO,5.926
PSO,5.981
PSO,6.235
PSO,8.385
PSO,5.862
PSO,9.774
PSO,16.395
PSO,16.789
PSO,16.763
PSO,16.623
PSO,7.237
PSO,16.849
PSO,16.886
PSO,5.947
PSO,5.913
PSO,5.913
PSO,7.536
PSO,14.218
PSO,6.223
PSO,6.779
PSO,5.95
PSO,6.816
PSO,6.417
PSO,5.995
PSO,5.899
PSO,6.95
PSO,6.231
PSO,7.032
PSO,6.257
PSO,6.522
PSO,6.579
PSO,6.135
PSO,5.906
PSO,6.223
PSO,6.684
PSO,6.192
PSO,16.365
PSO,6.525
PSO,16.737
PSO,16.794
PSO,16.547
PSO,16.884
PSO,6.414
PSO,16.903
PSO,6.542
PSO,6.292
PSO,5.912
PSO,7.204
PSO,16.388
PSO,7.248
PSO,7.366
PSO,7.421
PSO,7.461
PSO,7.524
PSO,7.367
PSO,6.956
PSO,7.845
PSO,8.288
PSO,7.247
PSO,7.42
PSO,7.448
PSO,7.51
PSO,7.435
PSO,7.191
PSO,7.402
PSO,18.31
PSO,8.126
PSO,18.717
PSO,18.684
PSO,18.851
PSO,18.847
PSO,7.739
PSO,7.253
PSO,18.935
PSO,7.444
PSO,7.493
PSO,7.462
PSO,7.339
PSO,17.216
PSO,14.283
PSO,7.868
PSO,7.412
PSO,7.944
PSO,7.259
PSO,7.577
PSO,7.472
PSO,7.487
PSO,7.332
PSO,7.263
PSO,9.154
PSO,7.425
PSO,7.706
PSO,7.252
PSO,7.492
PSO,7.483
PSO,7.994
PSO,18.664
PSO,6.974
PSO,18.825
PSO,18.858
PSO,7.018
PSO,18.873
PSO,18.937
PSO,7.922
PSO,7.364
PSO,7.569
PSO,7.259
PSO,7.485
PSO,18.647
PSO,7.798
PSO,18.917
PSO,4.71
PSO,4.695
PSO,4.903
PSO,4.918
PSO,4.711
PSO,4.502
PSO,4.337
PSO,4.597
PSO,4.396
PSO,4.823
PSO,4.25
PSO,4.954
PSO,11.017
PSO,11.276
PSO,4.778
PSO,11.352
PSO,6.293
PSO,4.558
PSO,11.498
PSO,4.358
PSO,11.389
PSO,4.562
PSO,4.842
PSO,4.468
PSO,4.71
PSO,4.83
PSO,4.53
PSO,11.394
PSO,11.016
PSO,11.285
PSO,11.365
PSO,4.341
PSO,4.446
PSO,4.481
PSO,4.739
PSO,4.62
PSO,4.666
PSO,4.789
PSO,4.667
PSO,4.4
PSO,4.269
PSO,4.62
PSO,4.64
PSO,4.657
PSO,4.676
PSO,11.396
PSO,4.729
PSO,11.59
PSO,11.444
PSO,4.712
PSO,4.486
PSO,4.559
PSO,4.286
PSO,4.628
PSO,4.646
PSO,4.702
PSO,4.706
PSO,10.4
PSO,11.075
PSO,11.274
PSO,11.375
PSO,11.387
PSO,5.693
PSO,5.523
PSO,5.331
PSO,6.269
PSO,5.487
PSO,5.628
PSO,5.669
PSO,5.651
PSO,6.248
PSO,5.72
PSO,5.404
PSO,5.439
PSO,5.256
PSO,5.715
PSO,5.514
PSO,13.433
PSO,13.341
PSO,5.637
PSO,7.481
PSO,5.254
PSO,7.302
PSO,5.789
PSO,5.314
PSO,5.303
PSO,5.477
PSO,6.01
PSO,12.951
PSO,13.203
PSO,13.33
PSO,13.336
PSO,13.046
PSO,5.944
PSO,5.29
PSO,5.988
PSO,5.786
PSO,5.528
PSO,5.313
PSO,5.795
PSO,6.098
PSO,5.272
PSO,5.949
PSO,5.282
PSO,5.857
PSO,13.353
PSO,13.517
PSO,5.39
PSO,5.255
PSO,6.088
PSO,5.351
PSO,5.277
PSO,6.551
PSO,5.27
PSO,5.896
PSO,7.402
PSO,5.924
PSO,10.747
PSO,12.992
PSO,13.24
PSO,13.292
PSO,9.878
PSO,13.378
PSO,13.49
PSO,3.127
PSO,3.094
PSO,3.105
PSO,5.403
PSO,4.02
PSO,3.099
PSO,3.109
PSO,3.09
PSO,3.104
PSO,3.794
PSO,3.164
PSO,4.052
PSO,3.096
PSO,3.104
PSO,3.094
PSO,3.805
PSO,4.243
PSO,3.103
PSO,3.877
PSO,3.101
PSO,3.165
PSO,3.098
PSO,3.102
PSO,8.257
PSO,3.091
PSO,3.332
PSO,3.653
PSO,8.165
PSO,8.308
PSO,7.306
PSO,8.426
PSO,3.114
PSO,3.404
PSO,3.109
PSO,3.108
PSO,3.113
PSO,4.049
PSO,3.338
PSO,3.126
PSO,3.542
PSO,3.516
PSO,3.108
PSO,3.837
PSO,3.109
PSO,3.115
PSO,3.117
PSO,3.43
PSO,4.276
PSO,3.148
PSO,8.435
PSO,8.469
PSO,3.109
PSO,8.275
PSO,3.714
PSO,3.199
PSO,3.113
PSO,3.893
PSO,3.111
PSO,8.2
PSO,8.31
PSO,8.323
PSO,8.422
PSO,4.202
PSO,4.386
PSO,4.737
PSO,4.078
PSO,4.122
PSO,4.889
PSO,4.085
PSO,5.825
PSO,5.631
PSO,5.117
PSO,4.151
PSO,4.426
PSO,4.247
PSO,4.629
PSO,4.088
PSO,4.817
PSO,4.083
PSO,10.351
PSO,10.342
PSO,4.269
PSO,4.721
PSO,4.157
PSO,4.47
