BS,1_100,1_200,1_500,1_1000,1_2000,1_5000,1_10000,2_100,2_200,2_500,2_1000,2_2000,2_5000,2_10000,3_100,3_200,3_500,3_1000,3_2000,3_5000,3_10000,avg
S1-STD,0.0,0.0,0.06,0.78,2.3,4.25,5.74,0.13,0.0,0.23,0.15,0.7,1.54,2.21,0.01,0.0,0.0,0.72,1.63,3.0,3.84,1.3
S2-STD,0.0,0.0,1.4,4.48,7.92,11.3,13.72,0.13,0.0,0.34,1.19,2.81,4.25,5.57,0.01,0.0,1.44,3.19,5.69,8.04,9.41,3.85
S3-STD,0.0,0.01,3.38,7.2,11.31,15.42,18.16,0.13,0.0,0.68,2.11,4.15,5.89,7.49,0.01,0.0,2.44,5.17,8.16,10.84,12.46,5.48
S4-STD,0.0,0.01,3.78,8.05,12.18,16.7,19.68,0.13,0.0,0.94,2.5,4.69,6.37,8.09,0.03,0.0,2.79,5.74,8.93,11.65,13.45,5.99
S1-COM,0.11,1.23,9.09,15.68,19.49,22.53,24.86,0.27,0.16,2.86,5.01,7.7,9.06,10.4,1.88,1.17,6.87,9.81,13.08,15.19,16.48,9.19
S2-COM,0.0,1.42,9.48,15.35,19.11,22.39,24.34,0.25,0.21,3.03,5.38,7.72,8.92,10.44,1.39,1.32,6.9,9.97,13.06,15.26,16.62,9.17
S3-COM,0.07,1.28,9.56,15.14,19.0,22.17,24.59,0.23,0.24,3.4,5.7,7.89,8.9,10.43,2.08,1.52,6.75,10.12,13.11,15.12,16.5,9.23
S4-COM,0.27,1.2,10.48,15.09,18.83,22.32,24.52,0.18,0.23,3.45,5.22,7.79,9.0,10.49,1.83,1.39,6.87,10.47,12.99,15.28,16.62,9.26
S1-ELIT,3.58,4.22,12.85,16.0,18.92,22.11,24.83,1.83,1.69,4.39,5.59,7.72,8.9,10.5,4.45,3.51,7.24,10.27,13.03,14.94,16.57,10.15
S2-ELIT,3.83,5.06,11.62,15.97,19.06,22.13,24.8,2.26,1.31,4.15,5.68,7.79,8.93,10.41,4.03,2.9,6.95,9.87,12.96,15.14,16.44,10.06
S3-ELIT,4.58,4.74,10.95,15.12,18.86,22.45,24.47,1.79,1.49,3.77,5.56,7.84,9.05,10.38,4.27,2.76,7.4,10.24,13.34,14.88,16.64,10.03
S4-ELIT,3.46,4.65,11.36,15.39,19.15,22.53,24.79,1.57,1.31,4.3,5.76,7.97,8.73,10.54,4.4,3.4,6.83,9.82,13.14,15.14,16.56,10.04
V1-STD,2.83,3.98,10.01,15.72,18.33,22.25,24.36,1.23,1.12,3.8,5.41,7.54,8.67,10.4,3.88,1.99,6.55,9.66,12.84,15.15,16.41,9.63
V2-STD,3.52,3.99,10.57,15.1,19.0,22.44,24.53,0.91,1.27,3.96,5.52,7.63,8.83,10.53,3.71,2.94,6.67,9.71,13.26,15.03,16.49,9.79
