Family,S,S,S,V,V,V,X,X,X,Z,Z,Z
DR,COM,ELIT,STD,COM,ELIT,STD,COM,ELIT,STD,COM,ELIT,STD
Instance,,,,,,,,,,,,
1_100,0.11,3.86,0.0,4.46,3.87,3.18,0.24,3.5,0.0,4.22,4.11,4.44
1_200,1.28,4.67,0.0,4.69,4.64,4.24,1.52,4.45,0.27,4.5,4.65,5.05
1_500,9.65,11.7,2.15,10.99,11.4,10.76,10.44,11.25,7.07,11.42,11.66,11.15
1_1000,15.32,15.62,5.13,15.85,15.82,15.53,15.42,15.95,13.02,15.69,15.64,15.62
1_2000,19.11,19.0,8.43,19.08,18.83,18.99,19.12,19.16,17.69,19.1,18.99,18.96
1_5000,22.35,22.3,11.92,22.36,22.3,22.41,22.51,22.16,21.98,22.29,22.18,22.08
1_10000,24.58,24.72,14.32,24.53,24.5,24.55,24.64,24.62,24.6,24.57,24.76,24.58
2_100,0.23,1.86,0.13,1.4,1.87,1.3,0.23,1.74,0.13,1.78,1.54,1.66
2_200,0.21,1.45,0.0,1.37,1.66,1.29,0.28,1.6,0.08,1.52,1.52,1.54
2_500,3.18,4.15,0.55,4.19,4.33,3.94,3.53,4.26,2.04,4.31,4.21,4.28
2_1000,5.33,5.65,1.49,5.73,5.75,5.46,5.5,5.63,4.32,5.64,5.78,5.62
2_2000,7.78,7.83,3.09,7.8,7.83,7.77,7.88,7.69,7.07,7.81,7.71,7.82
2_5000,8.97,8.9,4.51,8.94,9.07,8.87,9.01,8.97,8.71,9.06,8.96,8.94
2_10000,10.44,10.46,5.84,10.49,10.45,10.45,10.48,10.48,10.32,10.51,10.38,10.46
3_100,1.8,4.29,0.02,4.23,4.01,3.99,2.04,4.61,0.2,4.29,4.28,4.16
3_200,1.35,3.14,0.0,2.99,3.2,2.67,1.75,2.98,0.06,3.05,2.84,2.86
3_500,6.85,7.1,1.67,7.18,7.04,6.82,6.83,7.16,5.16,7.19,6.91,7.04
3_1000,10.09,10.05,3.7,10.19,10.01,9.84,9.9,10.04,9.1,10.12,9.91,10.07
3_2000,13.06,13.12,6.1,13.09,13.26,13.1,13.06,13.02,12.57,12.98,13.16,13.08
3_5000,15.21,15.02,8.38,15.13,15.19,15.12,15.18,15.21,15.08,15.07,15.2,15.18
3_10000,16.56,16.55,9.79,16.51,16.57,16.48,16.61,16.49,16.47,16.55,16.44,16.52
