BS,1_100,1_200,1_500,1_1000,1_2000,1_5000,1_10000,2_100,2_200,2_500,2_1000,2_2000,2_5000,2_10000,3_100,3_200,3_500,3_1000,3_2000,3_5000,3_10000,avg
S1-STD,0.0,0.0,0.04,0.24,1.88,4.93,7.18,0.13,0.05,0.07,0.03,0.44,1.56,2.83,0.02,0.0,0.0,0.61,1.54,3.77,5.16,1.45
S2-STD,0.0,0.0,0.21,2.48,6.17,10.93,14.3,0.13,0.0,0.15,0.58,1.99,4.06,5.67,0.0,0.0,0.54,2.16,4.98,8.15,9.93,3.45
S3-STD,0.0,0.0,1.42,5.15,9.58,14.42,17.93,0.13,0.0,0.31,1.4,3.45,5.4,7.14,0.0,0.0,1.37,3.95,7.2,10.42,12.31,4.84
S4-STD,0.0,0.0,2.38,6.34,11.25,15.79,19.2,0.13,0.0,0.56,1.79,3.91,5.96,7.8,0.0,0.0,2.09,4.7,8.19,11.21,13.17,5.45
S1-COM,0.0,0.03,2.08,5.46,6.88,6.36,5.72,0.25,0.03,0.92,1.55,2.14,2.31,2.55,0.05,0.02,2.34,3.73,4.12,3.93,3.98,2.59
S2-COM,0.0,0.04,3.46,8.63,12.31,14.64,16.07,0.18,0.14,1.35,2.49,4.4,5.54,6.54,0.47,0.04,3.31,6.45,9.47,10.24,10.37,5.53
S3-COM,0.0,0.25,6.55,13.59,18.63,22.16,24.68,0.16,0.2,2.2,4.21,7.23,9.03,10.3,0.62,0.47,6.07,8.9,12.97,15.16,16.62,8.57
S4-COM,0.0,0.46,7.29,14.66,18.71,22.23,24.76,0.16,0.11,2.51,4.76,7.55,8.95,10.37,0.94,0.36,6.07,10.17,12.99,14.95,16.48,8.78
S1-ELIT,4.4,4.93,10.88,16.45,19.08,22.4,24.6,1.87,1.78,4.21,5.59,7.85,9.0,10.52,4.35,3.22,7.67,10.14,13.17,15.21,16.63,10.19
S2-ELIT,4.22,4.57,10.58,15.99,18.86,22.27,24.85,1.4,1.65,4.02,5.37,7.82,8.75,10.52,4.5,2.92,6.86,10.14,12.8,15.09,16.58,9.99
S3-ELIT,4.48,4.89,10.33,15.9,19.21,22.17,24.36,1.69,1.32,4.41,5.47,7.85,9.1,10.5,4.27,3.19,7.11,10.14,13.12,15.21,16.56,10.06
S4-ELIT,4.18,3.79,10.81,15.25,19.01,22.38,24.45,1.37,1.41,4.28,5.45,7.98,9.07,10.49,4.26,3.46,6.95,10.29,12.71,15.35,16.57,9.98
V1-STD,1.04,0.06,1.1,7.08,14.88,21.61,24.55,0.4,0.41,0.4,1.52,5.13,8.61,10.45,0.31,0.03,1.95,5.88,11.19,14.87,16.59,7.05
V2-STD,0.58,0.08,1.64,8.4,16.07,21.91,24.65,0.44,0.43,0.54,1.78,5.38,8.55,10.42,0.16,0.04,2.38,6.77,12.09,15.24,16.5,7.34
V3-STD,1.01,0.03,2.95,10.86,17.89,22.72,24.72,0.5,0.41,0.71,2.76,6.53,8.95,10.57,0.55,0.05,3.37,8.56,12.96,15.11,16.6,7.99
