Family,S,S,S,V,V,V,X,X,X,Z,Z,Z
DR,COM,ELIT,STD,COM,ELIT,STD,COM,ELIT,STD,COM,ELIT,STD
Instance,,,,,,,,,,,,
1_100,0.0,4.32,0.0,1.89,4.11,0.87,2.79,4.2,1.07,4.49,4.52,4.42
1_200,0.2,4.54,0.0,1.14,4.42,0.06,3.66,4.53,1.98,4.84,4.3,5.0
1_500,4.84,10.65,1.01,7.91,11.0,2.66,10.94,10.94,9.38,10.79,11.38,10.86
1_1000,10.58,15.9,3.55,15.24,15.4,10.07,15.5,15.74,14.27,15.44,15.64,16.12
1_2000,14.13,19.04,7.22,19.36,18.85,16.96,19.08,18.94,18.33,19.05,19.17,19.16
1_5000,16.35,22.3,11.52,22.48,22.23,22.17,22.21,22.25,22.0,22.3,22.21,22.44
1_10000,17.81,24.56,14.65,24.66,24.7,24.65,24.7,24.72,24.59,24.62,24.74,24.78
2_100,0.19,1.58,0.13,0.78,1.54,0.47,0.65,1.48,0.29,1.74,1.44,1.71
2_200,0.12,1.54,0.01,0.9,1.54,0.44,0.62,1.7,0.29,1.52,1.59,1.51
2_500,1.74,4.23,0.27,2.64,4.32,0.71,4.16,4.24,3.09,4.19,4.35,4.18
2_1000,3.25,5.47,0.95,5.2,5.73,2.55,5.71,5.78,5.16,5.5,5.74,5.69
2_2000,5.33,7.88,2.45,7.8,7.8,6.19,7.74,7.83,7.44,7.78,7.73,7.74
2_5000,6.46,8.98,4.24,9.0,9.02,8.8,9.01,8.98,8.82,8.92,9.06,8.91
2_10000,7.44,10.51,5.86,10.41,10.48,10.45,10.34,10.47,10.35,10.4,10.44,10.42
3_100,0.52,4.34,0.0,2.57,4.22,0.44,3.42,4.18,1.74,4.06,4.4,4.14
3_200,0.22,3.2,0.0,1.05,2.82,0.05,2.52,3.09,1.08,3.09,3.04,3.03
3_500,4.45,7.15,1.0,6.18,6.92,3.06,6.99,7.39,6.3,6.99,7.17,7.0
3_1000,7.31,10.18,2.86,9.93,10.07,7.68,10.13,10.03,9.7,10.26,10.17,10.02
3_2000,9.89,12.95,5.48,13.12,12.99,12.33,13.09,13.19,12.84,13.06,13.18,13.23
3_5000,11.07,15.22,8.39,15.16,15.08,15.09,15.23,15.18,15.08,15.08,15.14,15.24
3_10000,11.86,16.58,10.14,16.53,16.59,16.57,16.49,16.54,16.53,16.53,16.44,16.48
