Instance,Opt.,S1_STD_max,S1_STD_median,S1_STD_std,S2_STD_max,S2_STD_median,S2_STD_std,S3_STD_max,S3_STD_median,S3_STD_std,S4_STD_max,S4_STD_median,S4_STD_std
1_100,9147.0,9147.0,9147.0,0.0,9147.0,9147.0,0.0,9147.0,9147.0,0.0,9147.0,9147.0,0.0
1_200,11238.0,11238.0,11238.0,0.0,11238.0,11238.0,0.0,11238.0,11238.0,2.75,11238.0,11238.0,3.29
1_500,28857.0,28857.0,28834.0,10.61,28834.0,28439.0,216.43,28477.0,27864.0,249.57,28312.0,27685.0,256.87
1_1000,54503.0,54378.0,54100.0,158.43,52776.0,52036.0,340.4,52159.0,50607.0,493.68,51034.0,50126.0,396.61
1_2000,110625.0,108844.0,108072.0,386.54,103153.0,101838.0,627.76,100271.0,98138.0,798.67,99531.0,97062.0,1029.02
1_5000,276457.0,266892.0,264706.0,869.21,247137.0,245201.0,961.24,240390.0,233296.0,1852.06,234160.0,230061.0,1490.89
1_10000,563647.0,535008.0,531259.0,1394.55,491379.0,486309.0,1925.65,468190.0,460869.0,2501.35,458486.0,452669.0,2287.96
2_100,1514.0,1512.0,1512.0,0.0,1512.0,1512.0,0.0,1512.0,1512.0,0.0,1512.0,1512.0,0.0
2_200,1634.0,1634.0,1634.0,0.0,1634.0,1634.0,0.0,1634.0,1634.0,0.0,1634.0,1634.0,0.18
2_500,4566.0,4566.0,4554.0,3.31,4557.0,4551.0,3.35,4557.0,4535.0,11.31,4551.0,4522.0,13.87
2_1000,9052.0,9051.0,9043.0,11.77,8995.0,8940.0,27.65,8947.0,8859.0,37.88,8892.0,8826.0,29.84
2_2000,18051.0,18009.0,17919.0,37.27,17735.0,17548.0,60.52,17465.0,17297.0,64.45,17426.0,17207.0,77.17
2_5000,44356.0,43788.0,43693.0,71.39,42790.0,42455.0,116.35,42116.0,41737.0,129.65,41760.0,41488.0,124.07
2_10000,90204.0,88560.0,88219.0,116.3,85617.0,85187.0,164.12,84052.0,83429.0,238.19,83445.0,82869.0,220.04
3_100,2397.0,2397.0,2397.0,0.37,2397.0,2397.0,0.37,2397.0,2397.0,0.43,2397.0,2397.0,1.28
3_200,2697.0,2697.0,2697.0,0.0,2697.0,2697.0,0.0,2697.0,2697.0,0.18,2697.0,2697.0,0.0
3_500,7117.0,7117.0,7117.0,0.48,7017.0,7016.0,2.89,7017.0,6917.0,44.49,7017.0,6912.0,46.48
3_1000,14390.0,14290.0,14287.0,4.36,14088.0,13890.0,70.99,13790.0,13672.0,70.19,13688.0,13582.0,82.59
3_2000,28919.0,28689.0,28418.0,94.6,27519.0,27218.0,128.64,26718.0,26519.0,108.14,26713.0,26317.0,155.09
3_5000,72505.0,70701.0,70303.0,138.96,67297.0,66603.0,221.22,65204.0,64604.0,193.06,65003.0,64000.0,286.21
3_10000,146919.0,141818.0,141212.0,275.28,134415.0,133110.0,328.86,129317.0,128516.0,340.48,127819.0,127119.0,347.48
