Instance,Opt.,S1_STD_max,S1_STD_median,S1_STD_std,S2_STD_max,S2_STD_median,S2_STD_std,S3_STD_max,S3_STD_median,S3_STD_std,S4_STD_max,S4_STD_median,S4_STD_std
1_100,9147.0,9147.0,9147.0,0.0,9147.0,9147.0,0.0,9147.0,9147.0,0.0,9147.0,9147.0,0.0
1_200,11238.0,11238.0,11238.0,0.0,11238.0,11238.0,0.0,11238.0,11238.0,0.0,11238.0,11238.0,0.0
1_500,28857.0,28857.0,28857.0,11.64,28857.0,28833.0,60.83,28790.0,28473.0,196.98,28654.0,28206.0,244.96
1_1000,54503.0,54503.0,54380.0,67.77,53643.0,53109.0,346.38,52789.0,51745.0,433.56,52182.0,50950.0,489.26
1_2000,110625.0,109378.0,108588.0,457.18,105006.0,103740.0,622.78,102027.0,99817.0,762.3,100398.0,98207.0,845.95
1_5000,276457.0,266399.0,262735.0,1358.2,248387.0,246197.0,1171.2,239444.0,236204.0,1171.68,236376.0,232488.0,1825.48
1_10000,563647.0,532491.0,523374.0,2728.65,487382.0,483240.0,2494.47,470235.0,462177.0,2733.31,460530.0,455581.0,2320.4
2_100,1514.0,1512.0,1512.0,0.0,1512.0,1512.0,0.0,1512.0,1512.0,0.0,1512.0,1512.0,0.0
2_200,1634.0,1634.0,1634.0,2.4,1634.0,1634.0,0.0,1634.0,1634.0,0.0,1634.0,1634.0,0.18
2_500,4566.0,4566.0,4566.0,4.82,4566.0,4557.0,5.18,4566.0,4552.0,7.3,4559.0,4543.0,13.36
2_1000,9052.0,9052.0,9051.0,2.0,9026.0,9001.0,15.08,8977.0,8924.0,24.91,8944.0,8890.0,28.48
2_2000,18051.0,18010.0,17976.0,21.85,17806.0,17686.0,56.96,17633.0,17440.0,76.99,17574.0,17333.0,66.68
2_5000,44356.0,43883.0,43648.0,89.88,42822.0,42546.0,121.23,42278.0,41943.0,119.35,42171.0,41684.0,174.0
2_10000,90204.0,87900.0,87640.0,152.1,85496.0,85097.0,151.91,84574.0,83761.0,252.57,83726.0,83092.0,244.7
3_100,2397.0,2397.0,2397.0,0.5,2397.0,2397.0,0.25,2397.0,2397.0,0.3,2397.0,2397.0,0.18
3_200,2697.0,2697.0,2697.0,0.0,2697.0,2697.0,0.0,2697.0,2697.0,0.0,2697.0,2697.0,0.0
3_500,7117.0,7117.0,7117.0,0.0,7117.0,7109.0,46.78,7117.0,7015.0,36.2,7117.0,6990.0,53.56
3_1000,14390.0,14390.0,14290.0,33.18,14189.0,14088.0,44.3,14074.0,13788.0,81.25,13867.0,13687.0,70.59
3_2000,28919.0,28613.0,28503.0,69.28,27905.0,27511.0,142.7,27108.0,26817.0,128.96,26814.0,26517.0,126.35
3_5000,72505.0,70104.0,69788.0,129.35,67191.0,66596.0,235.53,65797.0,64903.0,256.11,64905.0,64403.0,282.61
3_10000,146919.0,140215.0,139416.0,418.17,133214.0,132213.0,397.54,129812.0,128816.0,360.65,128216.0,127516.0,279.01
